iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2022-10-22,202026.0,77.0,132.857,7818.0,0.0,1.0,5038.122,1.92,3.313,194.965,0.0,0.025,0.91,,,,,,,,,,,,,,,,,,11977773.0,11012345.0,10328057.0,,,4839.0,29.87,27.46,25.76,,121.0,4634.0,0.012,,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,40099462.0,,,,
OWID_AFR,,Africa,2022-10-22,12373402.0,165.0,851.857,256888.0,0.0,4.286,8886.421,0.119,0.612,184.494,0.0,0.003,,,,,,,,,,,,,,,,,,,663611561.0,418700620.0,337428692.0,53285378.0,342365.0,110096.0,47.66,30.07,24.23,3.83,79.0,2324.0,0.0,,,,,,,,,,,,,,,,1392394303.0,,,,
ALB,Europe,Albania,2022-10-22,332754.0,15.0,19.286,3592.0,0.0,0.143,116563.154,5.254,6.756,1258.271,0.0,0.05,0.74,,,,,,,,,,,,,,,,,,2991576.0,1339100.0,1265900.0,363122.0,,635.0,104.79,46.91,44.34,12.72,222.0,73.0,0.003,,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2854710.0,,,,
DZA,Africa,Algeria,2022-10-22,270771.0,0.0,5.286,6881.0,0.0,0.0,6129.096,0.0,0.12,155.756,0.0,0.0,1.31,1.0,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44177969.0,,,,
AND,Europe,Andorra,2022-10-22,46449.0,0.0,11.857,155.0,0.0,0.0,587709.087,0.0,150.026,1961.181,0.0,0.0,0.24,,,,,,,,,,,,,,,,,,154320.0,57898.0,53482.0,42940.0,,3.0,195.26,73.26,67.67,54.33,38.0,0.0,0.0,,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,79034.0,,,,
AGO,Africa,Angola,2022-10-22,103131.0,0.0,0.0,1917.0,0.0,0.0,2988.977,0.0,0.0,55.559,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,22696229.0,14220830.0,7814121.0,1127156.0,,10293.0,65.78,41.22,22.65,3.27,298.0,0.0,0.0,,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,34503774.0,,,,
AIA,North America,Anguilla,2022-10-22,3866.0,0.0,0.0,12.0,0.0,0.0,245413.572,0.0,0.0,761.76,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15753.0,,,,
ATG,North America,Antigua and Barbuda,2022-10-22,9106.0,0.0,0.0,146.0,0.0,0.0,97682.901,0.0,0.0,1566.188,0.0,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93220.0,,,,
ARG,South America,Argentina,2022-10-22,9715464.0,1870.0,267.143,129970.0,12.0,1.714,214579.394,41.302,5.9,2870.566,0.265,0.038,1.1,,,,,,,,,,,,,,,,,,109808670.0,41339066.0,37830430.0,30960949.0,10977.0,8784.0,242.53,91.3,83.55,68.38,194.0,806.0,0.002,,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,45276780.0,,,,
ARM,Asia,Armenia,2022-10-22,444869.0,387.0,55.286,8706.0,0.0,0.857,159395.609,138.661,19.809,3119.341,0.0,0.307,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2790974.0,,,,
ABW,North America,Aruba,2022-10-22,43291.0,0.0,0.0,232.0,0.0,0.0,406350.905,0.0,0.0,2177.668,0.0,0.0,,,,,,,,,,,,,,,,,,,173650.0,89924.0,83726.0,,17.0,8.0,163.0,84.41,78.59,,75.0,5.0,0.005,,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106536.0,,,,
OWID_ASI,,Asia,2022-10-22,188194513.0,120592.0,124007.571,1490345.0,225.0,237.0,40099.099,25.695,26.423,317.552,0.048,0.05,,,,,,,,,,,,,,,,,,,8759546875.0,3617863698.0,3395507222.0,1686880988.0,1769902.0,1483783.0,186.64,77.09,72.35,35.94,316.0,518805.0,0.011,,,,,,,,,,,,,,,,4693235454.0,,,,
AUS,Oceania,Australia,2022-10-22,10342827.0,949.0,4728.857,15569.0,39.0,13.429,399012.055,36.611,182.433,600.631,1.505,0.518,1.16,42.0,1.62,1433.0,55.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,25921089.0,,,,
AUT,Europe,Austria,2022-10-22,5387830.0,8096.0,9765.143,20980.0,0.0,8.286,603875.867,907.412,1094.491,2351.469,0.0,0.929,0.86,125.0,14.01,2339.0,262.159,,,,,,,,,,,,,,19682504.0,6890276.0,,6164300.0,22774.0,17202.0,220.6,77.23,,69.09,1928.0,114.0,0.001,,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8922082.0,,,,
AZE,Asia,Azerbaijan,2022-10-22,822908.0,56.0,52.857,9937.0,2.0,0.857,79793.333,5.43,5.125,963.542,0.194,0.083,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10312992.0,,,,
BHS,North America,Bahamas,2022-10-22,37342.0,0.0,1.143,833.0,0.0,0.0,91545.601,0.0,2.802,2042.137,0.0,0.0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,407906.0,,,,
