iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
ABW,North America,Aruba,2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25766.0,15600.0,10166.0,,,,24.04,14.55,9.48,,,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0
ABW,North America,Aruba,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41096.0,29197.0,11899.0,,,1278,38.34,27.24,11.1,,11922,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236,,,,,11530,67.59,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43073.0,31139.0,11934.0,,,1195,40.18,29.05,11.13,,11148,60.19,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45588.0,33563.0,12025.0,,2515.0,1372,42.53,31.31,11.22,,12799,60.19,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.0
ABW,North America,Aruba,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48200.0,36058.0,12142.0,,2612.0,1562,44.96,33.64,11.33,,14572,60.19,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.02
ABW,North America,Aruba,2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50546.0,37981.0,12565.0,,2346.0,1715,47.15,35.43,11.72,,15999,60.19,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.05
ABW,North America,Aruba,2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52955.0,39961.0,12994.0,,2409.0,1877,49.4,37.28,12.12,,17510,60.19,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.07
ABW,North America,Aruba,2021-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55582.0,41770.0,13812.0,,2627.0,2069,51.85,38.97,12.88,,19301,60.19,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.09
ABW,North America,Aruba,2021-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55651.0,41837.0,13814.0,,69.0,1938,51.92,39.03,12.89,,18079,60.19,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.12
ABW,North America,Aruba,2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58178.0,43266.0,14912.0,,2527.0,2158,54.27,40.36,13.91,,20132,60.19,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,0.12
