iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
BOL,South America,Bolivia,2020-03-11,2,2,,,,,0.164,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0
BOL,South America,Bolivia,2020-03-12,2,0,,,,,0.164,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-13,3,1,,,,,0.245,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-14,10,7,,,,,0.818,0.573,,,,,,,,,,,,,,26,,0.002,,,,,,tests performed,,,,,,,,,,,,,,44.44,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-15,10,0,,,,,0.818,0.0,,,,,,,,,,,,,,33,7,0.003,0.001,,,,,tests performed,,,,,,,,,,,,,,44.44,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-16,11,1,1.571,,,,0.9,0.082,0.129,,,,,,,,,,,,,45,12,0.004,0.001,,,,,tests performed,,,,,,,,,,,,,,52.78,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-17,11,0,1.571,,,,0.9,0.0,0.129,,,,,,,,,,,,,50,5,0.004,0.0,,,,,tests performed,,,,,,,,,,,,,,68.52,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-18,12,1,1.429,,,,0.982,0.082,0.117,,,,,,,,,,,,,51,1,0.004,0.0,,,,,tests performed,,,,,,,,,,,,,,75.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-19,12,0,1.429,,,,0.982,0.0,0.117,,,,,,,,,,,,,84,33,0.007,0.003,,,,,tests performed,,,,,,,,,,,,,,75.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-20,15,3,1.714,,,,1.227,0.245,0.14,,,,,,,,,,,,,111,27,0.009,0.002,,,,,tests performed,,,,,,,,,,,,,,75.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-21,19,4,1.286,,,,1.554,0.327,0.105,,,,,,,,,,,,,,,,,20,0.002,0.0643,15.6,tests performed,,,,,,,,,,,,,,86.11,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-22,24,5,2.0,,,,1.963,0.409,0.164,,,,,,,,,,,,,228,,0.019,,28,0.002,0.0714,14.0,tests performed,,,,,,,,,,,,,,93.52,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-23,27,3,2.286,,,,2.209,0.245,0.187,,,,,,,,,,,,,273,45,0.023,0.004,33,0.003,0.0693,14.4,tests performed,,,,,,,,,,,,,,93.52,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-24,29,2,2.571,,,,2.372,0.164,0.21,,,,,,,,,,,,,,,,,40,0.003,0.0643,15.6,tests performed,,,,,,,,,,,,,,93.52,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-25,32,3,2.857,,,,2.618,0.245,0.234,,,,,,,,,,,,,,,,,48,0.004,0.0595,16.8,tests performed,,,,,,,,,,,,,,93.52,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-26,43,11,4.429,,,,3.518,0.9,0.362,,,,,,,,,,,,,442,,0.037,,51,0.004,0.0868,11.5,tests performed,,,,,,,,,,,,,,93.52,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-27,61,18,6.571,,,,4.99,1.472,0.538,,,,,,,,,,,,,,,,,56,0.005,0.1173,8.5,tests performed,,,,,,,,,,,,,,93.52,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-28,74,13,7.857,,,,6.054,1.063,0.643,,,,,,,,,,,,,,,,,57,0.005,0.1378,7.3,tests performed,,,,,,,,,,,,,,93.52,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-29,81,7,8.143,1,1,,6.626,0.573,0.666,0.082,0.082,,,,,,,,,,,,,,,58,0.005,0.1404,7.1,tests performed,,,,,,,,,,,,,,93.52,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-30,97,16,10.0,4,3,,7.935,1.309,0.818,0.327,0.245,,,,,,,,,,,697,,0.058,,61,0.005,0.1639,6.1,tests performed,,,,,,,,,,,,,,93.52,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-03-31,107,10,11.143,6,2,,8.753,0.818,0.912,0.491,0.164,,,,,,,,,,,779,82,0.064,0.007,64,0.005,0.1741,5.7,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,849.8,6.56,7.15,69.5183307354627,0.0
BOL,South America,Bolivia,2020-04-01,115,8,11.857,7,1,,9.408,0.654,0.97,0.573,0.082,,1.27,,,,,,,,,836,57,0.069,0.005,64,0.005,0.1853,5.4,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-02,123,8,11.429,8,1,,10.062,0.654,0.935,0.654,0.082,,1.27,,,,,,,,,,,,,76,0.006,0.1504,6.6,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-03,132,9,10.143,9,1,1.286,10.798,0.736,0.83,0.736,0.082,0.105,1.28,,,,,,,,,1118,,0.093,,87,0.007,0.1166,8.6,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-04,139,7,9.286,10,1,1.429,11.371,0.573,0.76,0.818,0.082,0.117,1.29,,,,,,,,,,,,,99,0.008,0.0938,10.7,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-05,157,18,10.857,10,0,1.286,12.843,1.472,0.888,0.818,0.0,0.105,1.31,,,,,,,,,,,,,110,0.009,0.0987,10.1,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-06,183,26,12.286,11,1,1.0,14.97,2.127,1.005,0.9,0.082,0.082,1.32,,,,,,,,,1549,,0.128,,122,0.01,0.1007,9.9,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-07,194,11,12.429,14,3,1.143,15.87,0.9,1.017,1.145,0.245,0.093,1.33,,,,,,,,,1681,132,0.139,0.011,129,0.011,0.0963,10.4,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-08,210,16,13.571,15,1,1.143,17.179,1.309,1.11,1.227,0.082,0.093,1.35,,,,,,,,,1875,194,0.155,0.016,148,0.012,0.0917,10.9,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-09,264,54,20.143,18,3,1.429,21.597,4.417,1.648,1.472,0.245,0.117,1.36,,,,,,,,,1997,122,0.165,0.01,146,0.012,0.138,7.2,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-10,268,4,19.429,19,1,1.429,21.924,0.327,1.589,1.554,0.082,0.117,1.36,,,,,,,,,2185,188,0.181,0.016,152,0.013,0.1278,7.8,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-11,275,7,19.429,20,1,1.429,22.497,0.573,1.589,1.636,0.082,0.117,1.37,,,,,,,,,2356,171,0.195,0.014,156,0.013,0.1245,8.0,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-12,300,25,20.429,24,4,2.0,24.542,2.045,1.671,1.963,0.327,0.164,1.38,,,,,,,,,2528,172,0.209,0.014,160,0.013,0.1277,7.8,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-13,330,30,21.0,27,3,2.286,26.996,2.454,1.718,2.209,0.245,0.187,1.39,,,,,,,,,,,,,168,0.014,0.125,8.0,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-14,354,24,22.857,28,1,2.0,28.959,1.963,1.87,2.291,0.082,0.164,1.4,,,,,,,,,2919,,0.242,,177,0.015,0.1291,7.7,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-15,397,43,26.714,28,0,1.857,32.477,3.518,2.185,2.291,0.0,0.152,1.41,,,,,,,,,3230,311,0.267,0.026,194,0.016,0.1377,7.3,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-16,441,44,25.286,29,1,1.571,36.076,3.599,2.069,2.372,0.082,0.129,1.42,,,,,,,,,3419,189,0.283,0.016,203,0.017,0.1246,8.0,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-17,465,24,28.143,31,2,1.714,38.04,1.963,2.302,2.536,0.164,0.14,1.42,,,,,,,,,3573,154,0.296,0.013,198,0.016,0.1421,7.0,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-18,493,28,31.143,31,0,1.571,40.33,2.291,2.548,2.536,0.0,0.129,1.43,,,,,,,,,3923,350,0.325,0.029,224,0.019,0.139,7.2,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-19,520,27,31.429,32,1,1.143,42.539,2.209,2.571,2.618,0.082,0.093,1.44,,,,,,,,,4135,212,0.342,0.018,230,0.019,0.1366,7.3,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-20,564,44,33.429,33,1,0.857,46.138,3.599,2.735,2.7,0.082,0.07,1.45,,,,,,,,,4298,163,0.356,0.013,225,0.019,0.1486,6.7,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-21,598,34,34.857,34,1,0.857,48.92,2.781,2.852,2.781,0.082,0.07,1.46,,,,,,,,,4420,122,0.366,0.01,214,0.018,0.1629,6.1,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-22,609,11,30.286,37,3,1.286,49.82,0.9,2.478,3.027,0.245,0.105,1.47,,,,,,,,,4855,435,0.402,0.036,232,0.019,0.1305,7.7,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-23,703,94,37.429,43,6,2.0,57.509,7.69,3.062,3.518,0.491,0.164,1.49,,,,,,,,,4995,140,0.414,0.012,225,0.019,0.1664,6.0,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-24,807,104,48.857,44,1,1.857,66.017,8.508,3.997,3.599,0.082,0.152,1.49,,,,,,,,,5297,302,0.439,0.025,246,0.02,0.1986,5.0,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-25,866,59,53.286,46,2,2.143,70.844,4.827,4.359,3.763,0.164,0.175,1.49,,,,,,,,,5572,275,0.461,0.023,236,0.02,0.2258,4.4,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-26,950,84,61.429,50,4,2.571,77.715,6.872,5.025,4.09,0.327,0.21,1.49,,,,,,,,,5791,219,0.479,0.018,237,0.02,0.2592,3.9,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-27,1014,64,64.286,53,3,2.857,82.951,5.236,5.259,4.336,0.245,0.234,1.48,,,,,,,,,5988,197,0.496,0.016,241,0.02,0.2667,3.7,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-28,1053,39,65.0,55,2,3.0,86.141,3.19,5.317,4.499,0.164,0.245,1.48,,,,,,,,,6121,133,0.507,0.011,243,0.02,0.2675,3.7,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-29,1110,57,71.571,59,4,3.143,90.804,4.663,5.855,4.827,0.327,0.257,1.48,,,,,,,,,,,,,212,0.018,0.3376,3.0,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,,0.0
BOL,South America,Bolivia,2020-04-30,1167,57,66.286,62,3,2.714,95.467,4.663,5.423,5.072,0.245,0.222,1.49,,,,,,,,,6551,,0.542,,222,0.018,0.2986,3.3,tests performed,,,,,,,,,,,,,,96.3,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,30.8000000000001,0.18,-19.44,2.51961001018152,0.0
