iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
BRB,North America,Barbados,2020-03-17,2,2,,,,,7.101,7.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0
BRB,North America,Barbados,2020-03-18,2,0,,,,,7.101,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
BRB,North America,Barbados,2020-03-19,5,3,,,,,17.753,10.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
BRB,North America,Barbados,2020-03-20,5,0,,,,,17.753,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
BRB,North America,Barbados,2020-03-21,6,1,,,,,21.303,3.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
BRB,North America,Barbados,2020-03-22,14,8,2.0,,,,49.708,28.404,7.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
BRB,North America,Barbados,2020-03-23,17,3,2.429,,,,60.359,10.652,8.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
BRB,North America,Barbados,2020-03-24,18,1,2.286,,,,63.91,3.551,8.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
BRB,North America,Barbados,2020-03-25,18,0,2.286,,,,63.91,0.0,8.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
BRB,North America,Barbados,2020-03-26,18,0,1.857,,,,63.91,0.0,6.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
BRB,North America,Barbados,2020-03-27,24,6,2.714,,,,85.213,21.303,9.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
BRB,North America,Barbados,2020-03-28,26,2,2.857,,,,92.314,7.101,10.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
BRB,North America,Barbados,2020-03-29,33,7,2.714,,,,117.168,24.854,9.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,,0.0
