iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
BRN,Asia,Brunei,2020-03-09,1.0,1.0,,,,,2.265,2.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,
BRN,Asia,Brunei,2020-03-10,1.0,0.0,,,,,2.265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,
BRN,Asia,Brunei,2020-03-11,11.0,10.0,,,,,24.913,22.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,
BRN,Asia,Brunei,2020-03-12,11.0,0.0,,,,,24.913,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,
BRN,Asia,Brunei,2020-03-13,37.0,26.0,,,,,83.799,58.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,
BRN,Asia,Brunei,2020-03-14,40.0,3.0,5.714,,,0.0,90.594,6.795,12.942,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,
BRN,Asia,Brunei,2020-03-15,50.0,10.0,7.143,,,0.0,113.242,22.648,16.177,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,
BRN,Asia,Brunei,2020-03-16,54.0,4.0,7.571,,,0.0,122.301,9.059,17.148,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,
BRN,Asia,Brunei,2020-03-17,56.0,2.0,7.857,,,0.0,126.831,4.53,17.795,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,
BRN,Asia,Brunei,2020-03-18,68.0,12.0,8.143,,,0.0,154.009,27.178,18.442,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,
