iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
ETH,Africa,Ethiopia,2020-03-13,1,1,,,,,0.008,0.008,,,,,,,,,,,,,,1,,0.0,,,,,,tests performed,,,,,,,,,,,,,,2.78,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,,0
ETH,Africa,Ethiopia,2020-03-14,1,0,,,,,0.008,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,2.78,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,,0.0
ETH,Africa,Ethiopia,2020-03-15,1,0,,,,,0.008,0.0,,,,,,,,,,,,,,118,,0.001,,,,,,tests performed,,,,,,,,,,,,,,2.78,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,,0.0
ETH,Africa,Ethiopia,2020-03-16,5,4,,,,,0.041,0.032,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,35.19,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,,0.0
ETH,Africa,Ethiopia,2020-03-17,5,0,,,,,0.041,0.0,,,,,,,,,,,,,,119,,0.001,,,,,,tests performed,,,,,,,,,,,,,,35.19,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,,0.0
ETH,Africa,Ethiopia,2020-03-18,6,1,0.857,,,,0.049,0.008,0.007,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,35.19,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,,0.0
ETH,Africa,Ethiopia,2020-03-19,6,0,0.857,,,,0.049,0.0,0.007,,,,,,,,,,,,,342,,0.003,,,,,,tests performed,,,,,,,,,,,,,,35.19,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,,0.0
ETH,Africa,Ethiopia,2020-03-20,9,3,1.143,,,,0.073,0.024,0.009,,,,,,,,,,,,,,,,,51,0.0,0.0224,44.6,tests performed,,,,,,,,,,,,,,35.19,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,,0.0
ETH,Africa,Ethiopia,2020-03-21,9,0,1.143,,,,0.073,0.0,0.009,,,,,,,,,,,,,,,,,45,0.0,0.0254,39.4,tests performed,,,,,,,,,,,,,,35.19,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,,0.0
ETH,Africa,Ethiopia,2020-03-22,11,2,1.429,,,,0.089,0.016,0.012,,,,,,,,,,,,,392,,0.003,,39,0.0,0.0366,27.3,tests performed,,,,,,,,,,,,,,35.19,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,,0.0
