iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
HUN,Europe,Hungary,2020-03-03,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0
HUN,Europe,Hungary,2020-03-04,2,2,,,,,0.208,0.208,,,,,,,,2,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-05,2,0,,,,,0.208,0.0,,,,,,,,4,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-06,2,0,,,,,0.208,0.0,,,,,,,,4,0.415,,,,,39,39,0.004,0.004,,,,,tests performed,,,,,,,,,,,,,,11.11,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-07,4,2,,,,,0.415,0.208,,,,,,,,5,0.519,,,,,89,50,0.009,0.005,,,,,tests performed,,,,,,,,,,,,,,11.11,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-08,7,3,,,,,0.727,0.311,,,,,,,,7,0.727,,,,,132,43,0.014,0.004,,,,,tests performed,,,,,,,,,,,,,,11.11,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,-2845.6,-9.64,-7.32,-295.3655959,0.0
HUN,Europe,Hungary,2020-03-09,9,2,1.286,,,,0.934,0.208,0.133,,,,,,,9,0.934,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,19.44,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-10,9,0,1.286,,,,0.934,0.0,0.133,,,,,,,12,1.246,,,,,301,169,0.031,0.018,,,,,tests performed,,,,,,,,,,,,,,19.44,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-11,13,4,1.571,,,,1.349,0.415,0.163,,,,,,,13,1.349,,,,,379,78,0.039,0.008,,,,,tests performed,,,,,,,,,,,,,,46.3,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-12,13,0,1.571,,,,1.349,0.0,0.163,,,,,,,16,1.661,,,,,500,121,0.052,0.013,,,,,tests performed,,,,,,,,,,,,,,50.0,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-13,19,6,2.429,,,,1.972,0.623,0.252,,,,,,,18,1.868,,,,,628,128,0.065,0.013,84,0.009,0.0289,34.6,tests performed,,,,,,,,,,,,,,50.0,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-14,30,11,3.714,,,,3.114,1.142,0.386,,,,,,,29,3.01,,,,,784,156,0.081,0.016,99,0.01,0.0375,26.7,tests performed,,,,,,,,,,,,,,50.0,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-15,32,2,3.571,1,1,,3.322,0.208,0.371,0.104,0.104,,,,,31,3.218,,,,,1006,222,0.104,0.023,125,0.013,0.0286,35.0,tests performed,,,,,,,,,,,,,,50.0,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,-2976.5,-9.24,-4.83,-308.9526624,0.0
HUN,Europe,Hungary,2020-03-16,39,7,4.286,1,0,,4.048,0.727,0.445,0.104,0.0,,,,,36,3.737,,,,,1240,234,0.129,0.024,146,0.015,0.0294,34.1,tests performed,,,,,,,,,,,,,,67.59,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-17,50,11,5.857,1,0,,5.19,1.142,0.608,0.104,0.0,,,,,47,4.878,,,,,1357,117,0.141,0.012,151,0.016,0.0388,25.8,tests performed,,,,,,,,,,,,,,67.59,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-18,58,8,6.429,1,0,,6.02,0.83,0.667,0.104,0.0,,,,,55,5.709,,,,,1573,216,0.163,0.022,171,0.018,0.0376,26.6,tests performed,,,,,,,,,,,,,,67.59,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-19,73,15,8.571,1,0,,7.577,1.557,0.89,0.104,0.0,,,,,70,7.266,,,,,2092,519,0.217,0.054,227,0.024,0.0378,26.5,tests performed,,,,,,,,,,,,,,67.59,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-20,85,12,9.429,3,2,0.429,8.823,1.246,0.979,0.311,0.208,0.044,,,,74,7.681,,,,,2777,685,0.288,0.071,307,0.032,0.0307,32.6,tests performed,,,,,,,,,,,,,,67.59,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-21,103,18,10.429,4,1,0.571,10.691,1.868,1.082,0.415,0.104,0.059,,,,92,9.549,,,,,3247,470,0.337,0.049,352,0.037,0.0296,33.8,tests performed,,,,,,,,,,,,,,67.59,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-22,131,28,14.143,6,2,0.714,13.597,2.906,1.468,0.623,0.208,0.074,1.75,,,113,11.729,,,,,4213,966,0.437,0.1,458,0.048,0.0309,32.4,tests performed,,,,,,,,,,,,,,67.59,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,-2810.4,-8.06,6.3,-291.7119309,0.0
HUN,Europe,Hungary,2020-03-23,167,36,18.286,7,1,0.857,17.334,3.737,1.898,0.727,0.104,0.089,1.74,,,144,14.947,,,,,5285,1072,0.549,0.111,578,0.06,0.0316,31.6,tests performed,,,,,,,,,,,,,,67.59,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-24,187,20,19.571,9,2,1.143,19.41,2.076,2.031,0.934,0.208,0.119,1.7,,,158,16.4,,,,,5883,598,0.611,0.062,647,0.067,0.0302,33.1,tests performed,,,,,,,,,,,,,,67.59,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-25,226,39,24.0,10,1,1.286,23.458,4.048,2.491,1.038,0.104,0.133,1.68,,,195,20.24,,,,,6587,704,0.684,0.073,716,0.074,0.0335,29.8,tests performed,,,,,,,,,,,,,,67.59,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-26,261,35,26.857,10,0,1.286,27.091,3.633,2.788,1.038,0.0,0.133,1.64,,,223,23.147,,,,,7775,1188,0.807,0.123,812,0.084,0.0331,30.2,tests performed,,,,,,,,,,,,,,67.59,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-27,300,39,30.714,10,0,1.0,31.139,4.048,3.188,1.038,0.0,0.104,1.61,,,256,26.572,,,,,9045,1270,0.939,0.132,895,0.093,0.0343,29.1,tests performed,,,,,,,,,,,,,,71.3,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-28,343,43,34.286,11,1,1.0,35.602,4.463,3.559,1.142,0.104,0.104,1.59,,,298,30.932,,,,,10073,1028,1.046,0.107,975,0.101,0.0352,28.4,tests performed,,,,,,,,,,,,,,76.85,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-29,408,65,39.571,13,2,1.0,42.349,6.747,4.107,1.349,0.208,0.104,1.57,,,361,37.471,,,,,11918,1845,1.237,0.192,1101,0.114,0.0359,27.8,tests performed,,,,,,,,,,,,,,76.85,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,-2809.7,-7.5,0.03,-291.6392728,0.0
HUN,Europe,Hungary,2020-03-30,447,39,40.0,15,2,1.143,46.397,4.048,4.152,1.557,0.208,0.119,1.53,,,398,41.311,,,,,13071,1153,1.357,0.12,1112,0.115,0.036,27.8,tests performed,,,,,,,,,,,,,,76.85,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-03-31,492,45,43.571,16,1,1.0,51.068,4.671,4.523,1.661,0.104,0.104,1.48,,,439,45.567,,,,,13916,845,1.444,0.088,1148,0.119,0.038,26.3,tests performed,,,,,,,,,,,,,,76.85,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-04-01,525,33,42.714,20,4,1.429,54.494,3.425,4.434,2.076,0.415,0.148,1.44,,,465,48.266,,,,,14978,1062,1.555,0.11,1199,0.124,0.0356,28.1,tests performed,,,,,,,,,,,,,,76.85,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
HUN,Europe,Hungary,2020-04-02,585,60,46.286,21,1,1.571,60.721,6.228,4.804,2.18,0.104,0.163,1.41,,,522,54.182,,,,,16171,1193,1.679,0.124,1199,0.124,0.0386,25.9,tests performed,,,,,,,,,,,,,,76.85,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,0.0
