iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
IDN,Asia,Indonesia,2020-03-02,2,2,,,,,0.007,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0
IDN,Asia,Indonesia,2020-03-03,2,0,,,,,0.007,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-04,2,0,,,,,0.007,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-05,2,0,,,,,0.007,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-06,4,2,,,,,0.015,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-07,4,0,0.571,,,,0.015,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-08,6,2,0.857,,,,0.022,0.007,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-09,19,13,2.429,,,,0.069,0.047,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-10,27,8,3.571,,,,0.099,0.029,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-11,34,7,4.571,1,1,,0.124,0.026,0.017,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-12,34,0,4.571,1,0,,0.124,0.0,0.017,0.004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-13,69,35,9.286,4,3,,0.252,0.128,0.034,0.015,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-14,96,27,13.143,5,1,,0.351,0.099,0.048,0.018,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-15,117,21,15.857,5,0,,0.427,0.077,0.058,0.018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-16,134,17,16.429,5,0,0.714,0.489,0.062,0.06,0.018,0.0,0.003,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-17,172,38,20.714,5,0,0.714,0.628,0.139,0.076,0.018,0.0,0.003,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-18,227,55,27.571,19,14,2.571,0.829,0.201,0.101,0.069,0.051,0.009,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-19,311,84,39.571,25,6,3.429,1.136,0.307,0.145,0.091,0.022,0.013,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-20,369,58,42.857,32,7,4.0,1.348,0.212,0.157,0.117,0.026,0.015,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-21,450,81,50.571,38,6,4.714,1.644,0.296,0.185,0.139,0.022,0.017,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-22,514,64,56.714,48,10,6.143,1.878,0.234,0.207,0.175,0.037,0.022,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-23,579,65,63.571,49,1,6.286,2.115,0.237,0.232,0.179,0.004,0.023,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-24,686,107,73.429,55,6,7.143,2.506,0.391,0.268,0.201,0.022,0.026,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-25,790,104,80.429,58,3,5.571,2.886,0.38,0.294,0.212,0.011,0.02,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-26,893,103,83.143,78,20,7.571,3.262,0.376,0.304,0.285,0.073,0.028,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
IDN,Asia,Indonesia,2020-03-27,1046,153,96.714,87,9,7.857,3.821,0.559,0.353,0.318,0.033,0.029,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,273753191,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,0.0
