iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
IRN,Asia,Iran,2020-02-19,2,2,,2,2,,0.023,0.023,,0.023,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0
IRN,Asia,Iran,2020-02-20,5,3,,2,0,,0.057,0.034,,0.023,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
IRN,Asia,Iran,2020-02-21,18,13,,4,2,,0.205,0.148,,0.045,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
IRN,Asia,Iran,2020-02-22,28,10,,5,1,,0.318,0.114,,0.057,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
IRN,Asia,Iran,2020-02-23,43,15,,8,3,,0.489,0.171,,0.091,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,-2658.0,-4.14,2.79,-30.2308490414705,0.0
IRN,Asia,Iran,2020-02-24,61,18,8.714,12,4,1.714,0.694,0.205,0.099,0.136,0.045,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
IRN,Asia,Iran,2020-02-25,95,34,13.571,16,4,2.286,1.08,0.387,0.154,0.182,0.045,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
IRN,Asia,Iran,2020-02-26,139,44,19.571,19,3,2.429,1.581,0.5,0.223,0.216,0.034,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
IRN,Asia,Iran,2020-02-27,245,106,34.286,26,7,3.429,2.787,1.206,0.39,0.296,0.08,0.039,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
IRN,Asia,Iran,2020-02-28,388,143,52.857,34,8,4.286,4.413,1.626,0.601,0.387,0.091,0.049,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
IRN,Asia,Iran,2020-02-29,593,205,80.714,43,9,5.429,6.745,2.332,0.918,0.489,0.102,0.062,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
IRN,Asia,Iran,2020-03-01,978,385,133.571,54,11,6.571,11.123,4.379,1.519,0.614,0.125,0.075,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,-2459.5,-3.42,2.58,-27.9732028658754,0.0
IRN,Asia,Iran,2020-03-02,1501,523,205.714,66,12,7.714,17.072,5.948,2.34,0.751,0.136,0.088,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
IRN,Asia,Iran,2020-03-03,2336,835,320.143,77,11,8.714,26.569,9.497,3.641,0.876,0.125,0.099,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
IRN,Asia,Iran,2020-03-04,2922,586,397.571,92,15,10.429,33.233,6.665,4.522,1.046,0.171,0.119,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,87923432,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,0.0
