iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
IRQ,Asia,Iraq,2020-02-24,1,1,,,,,0.022,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0
IRQ,Asia,Iraq,2020-02-25,1,0,,,,,0.022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-02-26,5,4,,,,,0.112,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-02-27,7,2,,,,,0.157,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-02-28,7,0,,,,,0.157,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-02-29,13,6,1.857,,,,0.292,0.135,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-01,19,6,2.714,,,,0.427,0.135,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-02,26,7,3.571,,,,0.584,0.157,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-03,32,6,4.429,,,,0.719,0.135,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-04,35,3,4.286,2,2,,0.787,0.067,0.096,0.045,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-05,35,0,4.0,2,0,,0.787,0.0,0.09,0.045,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-06,40,5,4.714,3,1,,0.899,0.112,0.106,0.067,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-07,54,14,5.857,4,1,,1.214,0.315,0.132,0.09,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-08,60,6,5.857,6,2,,1.348,0.135,0.132,0.135,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-09,60,0,4.857,6,0,0.857,1.348,0.0,0.109,0.135,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-10,71,11,5.571,7,1,1.0,1.596,0.247,0.125,0.157,0.022,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-11,71,0,5.143,7,0,0.714,1.596,0.0,0.116,0.157,0.0,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-12,71,0,5.143,8,1,0.857,1.596,0.0,0.116,0.18,0.022,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
IRQ,Asia,Iraq,2020-03-13,101,30,8.714,9,1,0.857,2.27,0.674,0.196,0.202,0.022,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,,0.0
