iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
LUX,Europe,Luxembourg,2020-02-24,,,,,,,,,,,,,,0,0.0,,,,,,,2,,0.003,,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0
LUX,Europe,Luxembourg,2020-02-25,,,,,,,,,,,,,,0,0.0,,,,,,,9,7,0.014,0.011,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-02-26,,,,,,,,,,,,,,0,0.0,,,,,,,11,2,0.017,0.003,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-02-27,,,,,,,,,,,,,,0,0.0,,,,,,,12,1,0.019,0.002,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-02-28,,,,,,,,,,,,,,0,0.0,,,,,,,16,4,0.025,0.006,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-02-29,1,1,,,,,1.564,1.564,,,,,,0,0.0,,,,,,,17,1,0.027,0.002,,,0.0,,tests performed,,,,,,,,,,,,,,0.0,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-01,1,0,,,,,1.564,0.0,,,,,,0,0.0,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,0.0,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,-146.6,-16.67,-20.77,-229.305779100014,0.0
LUX,Europe,Luxembourg,2020-03-02,1,0,,,,,1.564,0.0,,,,,,0,0.0,,,,,,,21,,0.033,,3,0.005,0.0,,tests performed,,,,,,,,,,,,,,0.0,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-03,1,0,,,,,1.564,0.0,,,,,,0,0.0,,,,,,,23,2,0.036,0.003,2,0.003,0.048,20.8,tests performed,,,,,,,,,,,,,,0.0,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-04,1,0,,,,,1.564,0.0,,,,,,0,0.0,,,,,,,24,1,0.038,0.002,2,0.003,0.067,14.9,tests performed,,,,,,,,,,,,,,0.0,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-05,1,0,0.143,,,,1.564,0.0,0.223,,,,,0,0.0,,,,,,,29,5,0.046,0.008,2,0.003,0.111,9.0,tests performed,,,,,,,,,,,,,,11.11,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-06,2,1,0.286,,,,3.128,1.564,0.447,,,,,0,0.0,,,,,,,35,6,0.055,0.009,3,0.005,0.087,11.5,tests performed,,,,,,,,,,,,,,11.11,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-07,2,0,0.143,,,,3.128,0.0,0.223,,,,,0,0.0,,,,,,,41,6,0.065,0.009,3,0.005,0.12,8.3,tests performed,,,,,,,,,,,,,,11.11,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-08,3,1,0.286,,,,4.692,1.564,0.447,,,,,0,0.0,,,,,,,,,,,4,0.006,,,tests performed,,,,,,,,,,,,,,11.11,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,-162.4,-16.45,-14.66,-254.019498812021,0.0
LUX,Europe,Luxembourg,2020-03-09,3,0,0.286,,,,4.692,0.0,0.447,,,,,0,0.0,,,,,,,56,,0.088,,5,0.008,0.051,19.6,tests performed,,,,,,,,,,,,,,22.22,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-10,5,2,0.571,,,,7.821,3.128,0.894,,,,,0,0.0,,,,,,,77,21,0.121,0.033,8,0.013,0.036,27.8,tests performed,,,,,,,,,,,,,,22.22,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-11,7,2,0.857,,,,10.949,3.128,1.341,,,,,0,0.0,,,,,,,111,34,0.175,0.054,12,0.019,0.034,29.4,tests performed,,,,,,,,,,,,,,22.22,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-12,19,12,2.571,,,,29.719,18.77,4.022,,,,,0,0.0,,,,,,,282,171,0.444,0.269,36,0.057,0.062,16.1,tests performed,,,,,,,,,,,,,,31.48,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-13,34,15,4.571,,,,53.181,23.462,7.15,,,,,0,0.0,,,,,,,465,183,0.732,0.288,61,0.096,0.085,11.8,tests performed,,,,,,,,,,,,,,42.59,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-14,51,17,7.0,1,1,,79.772,26.591,10.949,1.564,1.564,,,0,0.0,,,,,,,557,92,0.877,0.145,74,0.117,0.105,9.5,tests performed,,,,,,,,,,,,,,42.59,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,0.0
LUX,Europe,Luxembourg,2020-03-15,59,8,8.0,1,0,,92.285,12.513,12.513,1.564,0.0,,,0,0.0,,,,,,,575,18,0.906,0.028,75,0.118,0.101,9.9,tests performed,,,,,,,,,,,,,,53.7,639321,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,-162.8,-15.15,-0.46,-254.645162602198,0.0
