iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
LVA,Europe,Latvia,2020-01-06,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0
LVA,Europe,Latvia,2020-01-18,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-02-12,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.78,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-02-29,,,,,,,,,,,,,,,,,,,,,,116,116,0.062,0.062,,,,,tests performed,,,,,,,,,,,,,,8.33,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-01,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,126,10,0.067,0.005,,,,,tests performed,,,,,,,,,,,,,,8.33,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,-476.0,-8.71,-15.94,-254.013113693815,0.0
LVA,Europe,Latvia,2020-03-02,1,1,,,,,0.54,0.54,,,,,,,,,,,,,,163,37,0.087,0.02,,,,,tests performed,,,,,,,,,,,,,,8.33,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-03,1,0,,,,,0.54,0.0,,,,,,,,,,,,,,204,41,0.109,0.022,,,,,tests performed,,,,,,,,,,,,,,8.33,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-04,1,0,,,,,0.54,0.0,,,,,,,,,,,,,,240,36,0.128,0.019,,,,,tests performed,,,,,,,,,,,,,,8.33,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-05,1,0,,,,,0.54,0.0,,,,,,,,,,,,,,275,35,0.147,0.019,,,,,tests performed,,,,,,,,,,,,,,8.33,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-06,1,0,,,,,0.54,0.0,,,,,,,,,,,,,,307,32,0.164,0.017,,,,,tests performed,,,,,,,,,,,,,,8.33,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-07,1,0,0.143,,,,0.54,0.0,0.077,,,,,,,,,,,,,321,14,0.171,0.007,29,0.015,0.0049,202.8,tests performed,,,,,,,,,,,,,,8.33,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-08,2,1,0.286,,,,1.081,0.54,0.154,,,,,,,,,0.0,0.0,3.0,1.585,343,22,0.183,0.012,31,0.017,0.0092,108.4,tests performed,,,,,,,,,,,,,,8.33,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,-582.4,-9.58,-17.35,-310.792515578315,0.0
LVA,Europe,Latvia,2020-03-09,6,4,0.714,,,,3.242,2.161,0.386,,,,,,,,,,,,,391,48,0.209,0.026,33,0.018,0.0216,46.2,tests performed,,,,,,,,,,,,,,8.33,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-10,8,2,1.0,,,,4.323,1.081,0.54,,,,,,,,,,,,,450,59,0.24,0.031,35,0.019,0.0286,35.0,tests performed,,,,,,,,,,,,,,8.33,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-11,10,2,1.286,,,,5.403,1.081,0.695,,,,,,,,,,,,,497,47,0.265,0.025,37,0.02,0.0348,28.8,tests performed,,,,,,,,,,,,,,11.11,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-12,10,0,1.286,,,,5.403,0.0,0.695,,,,,,,,,,,,,576,79,0.307,0.042,43,0.023,0.0299,33.4,tests performed,,,,,,,,,,,,,,11.11,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-13,17,7,2.286,,,,9.186,3.782,1.235,,,,,,,,,,,,,703,127,0.375,0.068,57,0.03,0.0401,24.9,tests performed,,,,,,,,,,,,,,49.07,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-14,26,9,3.571,,,,14.049,4.863,1.93,,,,,,,,,,,,,1019,316,0.544,0.169,100,0.053,0.0357,28.0,tests performed,,,,,,,,,,,,,,51.85,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-15,30,4,4.0,,,,16.21,2.161,2.161,,,,,,,,,0.0,0.0,6.0,3.169,1353,334,0.722,0.178,144,0.077,0.0278,36.0,tests performed,,,,,,,,,,,,,,51.85,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,-620.0,-9.3,-6.41,-330.857416996146,0.0
LVA,Europe,Latvia,2020-03-16,34,4,4.0,,,,18.372,2.161,2.161,,,,,,,,,,,,,1704,351,0.909,0.187,188,0.1,0.0213,47.0,tests performed,,,,,,,,,,,,,,51.85,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-17,49,15,5.857,,,,26.477,8.105,3.165,,,,,,,,,,,,,2199,495,1.173,0.264,250,0.133,0.0234,42.7,tests performed,,,,,,,,,,,,,,57.41,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-18,71,22,8.714,,,,38.365,11.888,4.709,,,,,,,,,,,,,2954,755,1.576,0.403,351,0.187,0.0248,40.3,tests performed,,,,,,,,,,,,,,57.41,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
LVA,Europe,Latvia,2020-03-19,86,15,10.857,,,,46.47,8.105,5.867,,,,,,,,,,,,,3674,720,1.961,0.384,443,0.236,0.0245,40.8,tests performed,,,,,,,,,,,,,,57.41,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1850654,,,,,0.0
