iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
MCO,Europe,Monaco,2020-02-29,1,1,,,,,25.304,25.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,-11.4,-12.21,-16.86,-288.4615385,0
MCO,Europe,Monaco,2020-03-01,1,0,,,,,25.304,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-02,1,0,,,,,25.304,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-03,1,0,,,,,25.304,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-04,1,0,,,,,25.304,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-05,1,0,0.143,,,,25.304,0.0,3.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-06,1,0,0.143,,,,25.304,0.0,3.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-07,1,0,0.0,,,,25.304,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-08,1,0,0.0,,,,25.304,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-09,1,0,0.0,,,,25.304,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-10,1,0,0.0,,,,25.304,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-11,1,0,0.0,,,,25.304,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-12,2,1,0.143,,,,50.607,25.304,3.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-13,2,0,0.143,,,,50.607,0.0,3.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
MCO,Europe,Monaco,2020-03-14,2,0,0.143,,,,50.607,0.0,3.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,0.0
