iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
MUS,Africa,Mauritius,2020-03-18,3,3,,,,,2.356,2.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-19,3,0,,,,,2.356,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-20,12,9,,,,,9.423,7.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-21,14,2,,1,1,,10.994,1.571,,0.785,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-22,28,14,,2,1,,21.988,10.994,,1.571,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-23,36,8,5.143,2,0,0.286,28.27,6.282,4.039,1.571,0.0,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-24,42,6,6.0,2,0,0.286,32.982,4.712,4.712,1.571,0.0,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-25,48,6,6.429,2,0,0.286,37.694,4.712,5.048,1.571,0.0,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-26,81,33,11.143,2,0,0.286,63.608,25.914,8.75,1.571,0.0,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-27,94,13,11.714,2,0,0.286,73.817,10.209,9.199,1.571,0.0,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-28,102,8,12.571,2,0,0.143,80.099,6.282,9.872,1.571,0.0,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-29,107,5,11.286,3,1,0.143,84.025,3.926,8.862,2.356,0.785,0.112,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-30,128,21,13.143,3,0,0.143,100.516,16.491,10.321,2.356,0.0,0.112,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-03-31,143,15,14.429,5,2,0.429,112.295,11.779,11.33,3.926,1.571,0.337,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,-97.3,-3.43,-4.65,-76.4079319757379,0
MUS,Africa,Mauritius,2020-04-01,161,18,16.143,6,1,0.571,126.43,14.135,12.677,4.712,0.785,0.449,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-02,169,8,12.571,7,1,0.714,132.713,6.282,9.872,5.497,0.785,0.561,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-03,186,17,13.143,7,0,0.714,146.062,13.35,10.321,5.497,0.0,0.561,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-04,196,10,13.429,7,0,0.714,153.915,7.853,10.545,5.497,0.0,0.561,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-05,227,31,17.143,7,0,0.571,178.259,24.344,13.462,5.497,0.0,0.449,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-06,244,17,16.571,7,0,0.571,191.609,13.35,13.013,5.497,0.0,0.449,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-07,268,24,17.857,7,0,0.286,210.456,18.847,14.023,5.497,0.0,0.224,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-08,273,5,16.0,7,0,0.143,214.382,3.926,12.565,5.497,0.0,0.112,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-09,314,41,20.714,7,0,0.0,246.579,32.197,16.267,5.497,0.0,0.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-10,318,4,18.857,9,2,0.286,249.72,3.141,14.808,7.068,1.571,0.224,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-11,319,1,17.571,9,0,0.286,250.505,0.785,13.799,7.068,0.0,0.224,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-12,324,5,13.857,9,0,0.286,254.431,3.926,10.882,7.068,0.0,0.224,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
MUS,Africa,Mauritius,2020-04-13,324,0,11.429,9,0,0.286,254.431,0.0,8.975,7.068,0.0,0.224,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,0
