iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
MWI,Africa,Malawi,2020-03-29,,,,,,,,,,,,,,,,,,,,,,,18,0.001,,,,,,tests performed,,,,,,,,,,,,,,52.78,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0
MWI,Africa,Malawi,2020-03-30,,,,,,,,,,,,,,,,,,,,,,17,35,0.002,0.001,,,,,tests performed,,,,,,,,,,,,,,52.78,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,52.78,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-01,,,,,,,,,,,,,,,,,,,,,,,86,0.004,,,,,,tests performed,,,,,,,,,,,,,,52.78,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-02,3,3,,,,,0.153,0.153,,,,,,,,,,,,,,2,88,0.004,0.0,,,,,tests performed,,,,,,,,,,,,,,52.78,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-03,3,0,,,,,0.153,0.0,,,,,,,,,,,,,,5,93,0.005,0.0,,,,,tests performed,,,,,,,,,,,,,,52.78,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-04,4,1,,,,,0.204,0.051,,,,,,,,,,,,,,29,122,0.006,0.001,,,,,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-05,4,0,,,,,0.204,0.0,,,,,,,,,,,,,,1,123,0.006,0.0,15,0.001,,,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-06,5,1,,,,,0.254,0.051,,,,,,,,,,,,,,20,143,0.007,0.001,15,0.001,,,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-07,8,3,,1,1,,0.407,0.153,,0.051,0.051,,,,,,,,,,,2,145,0.007,0.0,12,0.001,,,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-08,8,0,1.143,1,0,,0.407,0.0,0.058,0.051,0.0,,,,,,,,,,,79,224,0.011,0.004,20,0.001,0.0572,17.5,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-09,8,0,0.714,1,0,,0.407,0.0,0.036,0.051,0.0,,,,,,,,,,,7,231,0.012,0.0,20,0.001,0.0357,28.0,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-10,9,1,0.857,1,0,,0.458,0.051,0.044,0.051,0.0,,,,,,,,,,,56,287,0.015,0.003,28,0.001,0.0306,32.7,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-11,12,3,1.143,2,1,,0.611,0.153,0.058,0.102,0.051,,,,,,,,,,,27,314,0.016,0.001,27,0.001,0.0423,23.6,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-12,13,1,1.286,2,0,,0.662,0.051,0.065,0.102,0.0,,,,,,,,,,,,,,,29,0.001,0.0443,22.6,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-13,16,3,1.571,2,0,0.286,0.814,0.153,0.08,0.102,0.0,0.015,,,,,,,,,,,343,0.017,,29,0.001,0.0542,18.5,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-14,16,0,1.143,2,0,0.143,0.814,0.0,0.058,0.102,0.0,0.007,,,,,,,,,,,,,,29,0.001,0.0394,25.4,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-15,16,0,1.143,2,0,0.143,0.814,0.0,0.058,0.102,0.0,0.007,,,,,,,,,,,353,0.018,,18,0.001,0.0635,15.7,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-16,16,0,1.143,2,0,0.143,0.814,0.0,0.058,0.102,0.0,0.007,,,,,,,,,,64,417,0.021,0.003,27,0.001,0.0423,23.6,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-17,17,1,1.143,2,0,0.143,0.865,0.051,0.058,0.102,0.0,0.007,,,,,,,,,,7,424,0.022,0.0,20,0.001,0.0572,17.5,tests performed,,,,,,,,,,,,,,56.48,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-18,17,0,0.714,2,0,0.0,0.865,0.0,0.036,0.102,0.0,0.0,,,,,,,,,,5,429,0.022,0.0,16,0.001,0.0446,22.4,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-19,17,0,0.571,2,0,0.0,0.865,0.0,0.029,0.102,0.0,0.0,,,,,,,,,,,,,,17,0.001,0.0336,29.8,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-20,17,0,0.143,2,0,0.0,0.865,0.0,0.007,0.102,0.0,0.0,,,,,,,,,,,460,0.023,,17,0.001,0.0084,118.9,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-21,18,1,0.286,2,0,0.0,0.916,0.051,0.015,0.102,0.0,0.0,,,,,,,,,,59,519,0.026,0.003,24,0.001,0.0119,83.9,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-22,23,5,1.0,3,1,0.143,1.171,0.254,0.051,0.153,0.051,0.007,,,,,,,,,,34,553,0.028,0.002,29,0.001,0.0345,29.0,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-23,33,10,2.429,3,0,0.143,1.68,0.509,0.124,0.153,0.0,0.007,,,,,,,,,,13,566,0.029,0.001,21,0.001,0.1157,8.6,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-24,33,0,2.286,3,0,0.143,1.68,0.0,0.116,0.153,0.0,0.007,,,,,,,,,,51,617,0.031,0.003,28,0.001,0.0816,12.2,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-25,33,0,2.286,3,0,0.143,1.68,0.0,0.116,0.153,0.0,0.007,,,,,,,,,,47,664,0.034,0.002,34,0.002,0.0672,14.9,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-26,34,1,2.429,3,0,0.143,1.73,0.051,0.124,0.153,0.0,0.007,,,,,,,,,,26,690,0.035,0.001,35,0.002,0.0694,14.4,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-27,36,2,2.714,3,0,0.143,1.832,0.102,0.138,0.153,0.0,0.007,,,,,,,,,,13,703,0.036,0.001,35,0.002,0.0775,12.9,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-28,36,0,2.571,3,0,0.143,1.832,0.0,0.131,0.153,0.0,0.007,,,,,,,,,,41,744,0.038,0.002,32,0.002,0.0803,12.4,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-29,36,0,1.857,3,0,0.0,1.832,0.0,0.095,0.153,0.0,0.0,,,,,,,,,,30,774,0.039,0.002,32,0.002,0.058,17.2,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
MWI,Africa,Malawi,2020-04-30,37,1,0.571,3,0,0.0,1.883,0.051,0.029,0.153,0.0,0.0,,,,,,,,,,57,831,0.042,0.003,38,0.002,0.015,66.5,tests performed,,,,,,,,,,,,,,60.19,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,0.0
