iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
NCL,Oceania,New Caledonia,2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118.0,1118.0,,,,,0.39,0.39,,,,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,239.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,239.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,239.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,239.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,239.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,239.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,239.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672.0,1672.0,,,,69.0,0.58,0.58,,,239.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,291.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,347.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,,,,,399.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,451.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,,,,503.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2726.0,2454.0,272.0,,,160.0,0.95,0.85,0.09,,555.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.0,,,,,645.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,,,,,680.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,,,,,715.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,,,,,753.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.0,,,,,788.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0,,,,,822.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4457.0,3432.0,1025.0,,,247.0,1.55,1.19,0.36,,857.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.0,,,,,923.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,,,,,989.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,,,,,1055.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,,,,,1121.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.0,,,,,1183.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,,,,1249.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,1315.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,1315.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,1315.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,1315.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,1315.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,1315.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,1315.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9765.0,7343.0,2422.0,,,379.0,3.39,2.55,0.84,,1315.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.0,,,,,1551.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.0,,,,,1790.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.0,,,,,2026.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.0,,,,,2262.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.0,,,,,2502.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789.0,,,,,2738.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15767.0,12133.0,3634.0,,,857.0,5.47,4.21,1.26,,2973.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.0,,,,,3043.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.0,,,,,3109.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.0,,,,,3175.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.0,,,,,3241.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.0,,,,,3307.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972.0,,,,,3372.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22707.0,17564.0,5143.0,,,991.0,7.88,6.09,1.78,,3438.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.0,,,,,3386.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961.0,,,,,3334.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946.0,,,,,3282.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932.0,,,,,3234.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917.0,,,,,3182.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.0,,,,,3130.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28913.0,21192.0,7721.0,,,887.0,10.03,7.35,2.68,,3078.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909.0,,,,,3154.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.0,,,,,3230.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.0,,,,,3310.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.0,,,,,3386.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,,,,,3463.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.0,,,,,3542.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043.0,,,,,3619.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37258.0,24679.0,12579.0,,,1043.0,12.93,8.56,4.36,,3619.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.0,,,,,3678.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076.0,,,,,3733.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093.0,,,,,3792.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.0,,,,,3848.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126.0,,,,,3907.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44210.0,26584.0,17626.0,,,1142.0,15.34,9.22,6.12,,3962.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.0,,,,,4059.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182.0,,,,,4101.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,,,,,4139.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204.0,,,,,4177.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216.0,,,,,4219.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227.0,,,,,4257.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52881.0,32071.0,20810.0,,,1239.0,18.35,11.13,7.22,,4299.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226.0,,,,,4254.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213.0,,,,,4209.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,,4164.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.0,,,,,4118.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174.0,,,,,4073.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161.0,,,,,4028.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60916.0,37070.0,23846.0,,,1148.0,21.14,12.86,8.27,,3983.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123.0,,,,,3896.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.0,,,,,3813.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.0,,,,,3730.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,,,,3643.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.0,,,,,3560.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.0,,,,,3473.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67755.0,41364.0,26391.0,,,977.0,23.51,14.35,9.16,,3390.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.0,,,,,3459.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.0,,,,,3529.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.0,,,,,3598.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057.0,,,,,3667.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.0,,,,,3740.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098.0,,,,,3810.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75580.0,43941.0,31639.0,,,1118.0,26.22,15.25,10.98,,3879.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063.0,,,,,3688.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.0,,,,,3501.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.0,,,,,3310.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,,,,,3123.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.0,,,,,2932.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.0,,,,,2744.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80734.0,45104.0,35630.0,,,736.0,28.01,15.65,12.36,,2554.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.0,,,,,2609.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767.0,,,,,2661.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
NCL,Oceania,New Caledonia,2021-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.0,,,,,2713.0,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,0
