iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
NLD,Europe,Netherlands,2020-02-27,1,1,,,,,0.058,0.058,,,,,,7.0,0.408,1.0,0.058,,,,,,,,,,,,,,,,,,,,,,,,,5.56,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,,0
NLD,Europe,Netherlands,2020-02-28,1,0,,,,,0.058,0.0,,,,,,8.0,0.466,9.0,0.524,,,,,,,,,,,,,,,,,,,,,,,,,5.56,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,,0.0
NLD,Europe,Netherlands,2020-02-29,6,5,,,,,0.349,0.291,,,,,,9.0,0.524,10.0,0.582,,,,,,,,,,,,,,,,,,,,,,,,,5.56,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,,0.0
NLD,Europe,Netherlands,2020-03-01,10,4,,,,,0.582,0.233,,,,,,11.0,0.641,20.0,1.165,1.973,0.115,30.582,1.781,,,,,,,,,,,,,,,,,,,,,5.56,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,-2332.1,-7.62,-8.61,-135.79964099655,0.0
NLD,Europe,Netherlands,2020-03-02,18,8,,,,,1.048,0.466,,,,,,10.0,0.582,34.0,1.98,,,,,,,,,,,,,,,,,,,,,,,,,5.56,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,,0.0
NLD,Europe,Netherlands,2020-03-03,24,6,3.429,,,0.0,1.398,0.349,0.2,,,0.0,,12.0,0.699,40.0,2.329,,,,,,,,,,,,,,,,,,,,,,,,,5.56,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,,0.0
NLD,Europe,Netherlands,2020-03-04,38,14,5.429,,,0.0,2.213,0.815,0.316,,,0.0,,15.0,0.873,53.0,3.086,,,,,,,,,,,,,,,,,,,,,,,,,5.56,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,,0.0
NLD,Europe,Netherlands,2020-03-05,82,44,11.571,,,0.0,4.775,2.562,0.674,,,0.0,,15.0,0.873,65.0,3.785,,,,,,,,,,,,,,,,,,,,,,,,,5.56,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,,0.0
NLD,Europe,Netherlands,2020-03-06,128,46,18.143,1,1,0.143,7.454,2.679,1.056,0.058,0.058,0.008,,19.0,1.106,77.0,4.484,,,,,,,,,,,,,,,,,,,,,,,,,11.11,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,,0.0
NLD,Europe,Netherlands,2020-03-07,188,60,26.0,1,0,0.143,10.947,3.494,1.514,0.058,0.0,0.008,2.99,21.0,1.223,93.0,5.415,,,,,,,,,,,,,,,,,,,,,,,,,11.11,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,,0.0
