iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
NRU,Oceania,Nauru,2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0.0,0.0,,,,,,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0
NRU,Oceania,Nauru,2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,168,,,168,168,1.34,1.34,,,13427,168,1.343,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.0
NRU,Oceania,Nauru,2021-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,8632,108,0.863,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,7033,88,0.703,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,6234,78,0.623,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,5754,72,0.575,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,5435,68,0.543,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,5195,65,0.52,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,3836,48,0.384,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,3836,48,0.384,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,3836,48,0.384,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,3836,48,0.384,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,,,,48,5.59,5.59,,,3836,48,0.384,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,6074,76,0.607,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,8232,103,0.823,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,10390,130,1.039,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,12548,157,1.255,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,14786,185,1.479,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,,16944,212,1.694,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
NRU,Oceania,Nauru,2021-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,19102,239,1.91,,12512,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,,,,,0.01
