iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
PAN,North America,Panama,2020-03-09,,,,,,,,,,,,,,,,,,,,,,107,,0.025,,,,,,tests performed,,,,,,,,,,,,,,8.33,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,,0
PAN,North America,Panama,2020-03-10,1,1,,,,,0.227,0.227,,,,,,,,,,,,,,138,31,0.032,0.007,,,,,tests performed,,,,,,,,,,,,,,8.33,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,,0.0
PAN,North America,Panama,2020-03-11,8,7,,1,1,,1.815,1.588,,0.227,0.227,,,,,,,,,,,180,42,0.041,0.01,,,,,tests performed,,,,,,,,,,,,,,8.33,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,,0.0
PAN,North America,Panama,2020-03-12,11,3,,1,0,,2.495,0.68,,0.227,0.0,,,,,,,,,,,374,194,0.086,0.045,,,,,tests performed,,,,,,,,,,,,,,19.44,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,,0.0
PAN,North America,Panama,2020-03-13,27,16,,1,0,,6.124,3.629,,0.227,0.0,,,,,,,,,,,613,239,0.141,0.055,,,,,tests performed,,,,,,,,,,,,,,44.44,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,,0.0
PAN,North America,Panama,2020-03-14,36,9,,1,0,,8.166,2.041,,0.227,0.0,,,,,,,,,,,814,201,0.187,0.046,,,,,tests performed,,,,,,,,,,,,,,44.44,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,,0.0
PAN,North America,Panama,2020-03-15,43,7,6.143,1,0,,9.754,1.588,1.393,0.227,0.0,,,,,,,,,,,921,107,0.212,0.025,,,,,tests performed,,,,,,,,,,,,,,44.44,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,,0.0
PAN,North America,Panama,2020-03-16,55,12,7.857,1,0,0.143,12.476,2.722,1.782,0.227,0.0,0.032,,,,,,,,,,1004,83,0.231,0.019,128,0.029,0.0614,16.3,tests performed,,,,,,,,,,,,,,48.15,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,,0.0
PAN,North America,Panama,2020-03-17,69,14,9.714,1,0,0.143,15.651,3.176,2.203,0.227,0.0,0.032,,,,,,,,,,1245,241,0.286,0.055,158,0.036,0.0615,16.3,tests performed,,,,,,,,,,,,,,51.85,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,,0.0
PAN,North America,Panama,2020-03-18,86,17,11.143,1,0,0.0,19.507,3.856,2.528,0.227,0.0,0.0,,,,,,,,,,1455,210,0.334,0.048,182,0.042,0.0612,16.3,tests performed,,,,,,,,,,,,,,51.85,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,,0.0
