iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
PYF,Oceania,French Polynesia,2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133.0,2133.0,,,,,0.75,0.75,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0
PYF,Oceania,French Polynesia,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,655,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0
PYF,Oceania,French Polynesia,2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,655,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0
PYF,Oceania,French Polynesia,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,655,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0
PYF,Oceania,French Polynesia,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,655,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0
PYF,Oceania,French Polynesia,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,655,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0
PYF,Oceania,French Polynesia,2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,655,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0
PYF,Oceania,French Polynesia,2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,655,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0
PYF,Oceania,French Polynesia,2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3611.0,3196.0,415.0,,,185,1.28,1.13,0.15,,655,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0
PYF,Oceania,French Polynesia,2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,,,,,736,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0
