iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
RWA,Africa,Rwanda,2020-03-14,1,1,,,,,0.075,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,13276517,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,0.33115556955272674
RWA,Africa,Rwanda,2020-03-15,1,0,,,,,0.075,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,13276517,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,0.0
RWA,Africa,Rwanda,2020-03-16,5,4,,,,,0.377,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,13276517,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,0.0
RWA,Africa,Rwanda,2020-03-17,7,2,,,,,0.527,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,13276517,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,0.0
RWA,Africa,Rwanda,2020-03-18,8,1,,,,,0.603,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,13276517,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,0.0
RWA,Africa,Rwanda,2020-03-19,8,0,1.143,,,0.0,0.603,0.0,0.086,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,13276517,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,0.0
RWA,Africa,Rwanda,2020-03-20,17,9,2.429,,,0.0,1.28,0.678,0.183,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,13276517,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,0.0
RWA,Africa,Rwanda,2020-03-21,17,0,2.286,,,0.0,1.28,0.0,0.172,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,0.0
RWA,Africa,Rwanda,2020-03-22,19,2,2.571,,,0.0,1.431,0.151,0.194,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,0.0
RWA,Africa,Rwanda,2020-03-23,36,17,4.429,,,0.0,2.712,1.28,0.334,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,0.0
