iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
SRB,Europe,Serbia,2020-02-26,,,,,,,,,,,,,,,,,,,,,,,16.0,0.002,,,,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.004019537863075675
SRB,Europe,Serbia,2020-02-27,,,,,,,,,,,,,,,,,,,,,,9.0,25.0,0.004,0.001,,,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-02-28,,,,,,,,,,,,,,,,,,,,,,5.0,30.0,0.004,0.001,,,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-02-29,,,,,,,,,,,,,,,,,,,,,,3.0,33.0,0.005,0.0,,,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,-426.6,-2.19,0.86,-62.6929210786357,0.0
SRB,Europe,Serbia,2020-03-01,,,,,,,,,,,,,,,,,,,,,,3.0,36.0,0.005,0.0,,,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-02,,,,,,,,,,,,,,,,,,,,,,9.0,45.0,0.007,0.001,,,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-03,,,,,,,,,,,,,,,,,,,,,,1.0,46.0,0.007,0.0,,,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-04,,,,,,,,,,,,,,,,,,,,,,4.0,50.0,0.007,0.001,5.0,0.001,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.001,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-06,1,1,,,,,0.147,0.147,,,,,,,,,,,,,,,67.0,0.01,,5.0,0.001,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-07,1,0,,,,,0.147,0.0,,,,,,,,,,,,,,24.0,91.0,0.013,0.004,8.0,0.001,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-08,1,0,,,,,0.147,0.0,,,,,,,,,,,,,,3.0,94.0,0.014,0.0,8.0,0.001,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-09,1,0,,,,,0.147,0.0,,,,,,,,,,,,,,7.0,101.0,0.015,0.001,8.0,0.001,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-10,5,4,,,,,0.735,0.588,,,,,,,,,,,,,,16.0,117.0,0.017,0.002,10.0,0.001,,,people tested,,,,,,,,,,,,13.89,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-11,12,7,1.714,,,0.0,1.764,1.029,0.252,,,0.0,,,,,,,,,,34.0,151.0,0.022,0.005,14.0,0.002,0.122,8.2,people tested,,,,,,,,,,,,25.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-12,19,7,2.714,,,0.0,2.792,1.029,0.399,,,0.0,,,,,,,,,,34.0,185.0,0.027,0.005,18.0,0.003,0.151,6.6,people tested,,,,,,,,,,,,25.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-13,35,16,4.857,,,0.0,5.144,2.351,0.714,,,0.0,,,,,,,,,,54.0,239.0,0.035,0.008,25.0,0.004,0.194,5.1,people tested,,,,,,,,,,,,25.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-14,46,11,6.429,,,0.0,6.76,1.617,0.945,,,0.0,,,,,,,,,,29.0,268.0,0.039,0.004,25.0,0.004,0.257,3.9,people tested,,,,,,,,,,,,25.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-15,48,2,6.714,,,0.0,7.054,0.294,0.987,,,0.0,,,,,,,,,,15.0,283.0,0.042,0.002,27.0,0.004,0.249,4.0,people tested,,,,,,,,,,,,49.07,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-16,55,7,7.714,,,0.0,8.083,1.029,1.134,,,0.0,,,,,,,,,,33.0,316.0,0.046,0.005,31.0,0.005,0.249,4.0,people tested,,,,,,,,,,,,66.67,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-17,65,10,8.571,,,0.0,9.552,1.47,1.26,,,0.0,,,,,,,,,,58.0,374.0,0.055,0.009,37.0,0.005,0.232,4.3,people tested,,,,,,,,,,,,66.67,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-18,83,18,10.143,,,0.0,12.198,2.645,1.491,,,0.0,,,,,,,,,,66.0,440.0,0.065,0.01,41.0,0.006,0.247,4.0,people tested,,,,,,,,,,,,81.48,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-19,103,20,12.0,,,0.0,15.137,2.939,1.764,,,0.0,,,,,,,,,,66.0,506.0,0.074,0.01,46.0,0.007,0.261,3.8,people tested,,,,,,,,,,,,81.48,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-20,135,32,14.286,1,1,0.143,19.84,4.703,2.099,0.147,0.147,0.021,1.93,,,,,,,,,79.0,585.0,0.086,0.012,49.0,0.007,0.292,3.4,people tested,,,,,,,,,,,,81.48,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0
SRB,Europe,Serbia,2020-03-21,171,36,17.857,1,0,0.143,25.13,5.291,2.624,0.147,0.0,0.021,1.93,,,,,,,,,87.0,672.0,0.099,0.013,58.0,0.009,0.308,3.2,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.000014695949619933351
SRB,Europe,Serbia,2020-03-22,222,51,24.857,2,1,0.286,32.625,7.495,3.653,0.294,0.147,0.042,1.97,,,,,,,,,89.0,761.0,0.112,0.013,68.0,0.01,0.366,2.7,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.000014614305455378165
SRB,Europe,Serbia,2020-03-23,249,27,27.714,3,1,0.429,36.593,3.968,4.073,0.441,0.147,0.063,1.98,,,,,,,,,61.0,822.0,0.121,0.009,72.0,0.011,0.385,2.6,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.00002922861091075633
SRB,Europe,Serbia,2020-03-24,303,54,34.0,3,0,0.429,44.529,7.936,4.997,0.441,0.0,0.063,2.01,,,,,,,,,94.0,916.0,0.135,0.014,77.0,0.011,0.442,2.3,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.00004376127220157931
SRB,Europe,Serbia,2020-03-25,384,81,43.0,4,1,0.571,56.432,11.904,6.319,0.588,0.147,0.084,2.02,,,,,,,,,245.0,1161.0,0.171,0.036,103.0,0.015,0.417,2.4,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.00004351633970791376
SRB,Europe,Serbia,2020-03-26,384,0,40.143,1,-3,0.143,56.432,0.0,5.899,0.147,-0.441,0.021,2.02,,,,,,,,,295.0,1456.0,0.214,0.043,136.0,0.02,0.295,3.4,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.00005796735683418155
SRB,Europe,Serbia,2020-03-27,457,73,46.0,1,0,0.0,67.16,10.728,6.76,0.147,0.0,0.0,2.08,,,,,,,,,259.0,1715.0,0.252,0.038,161.0,0.024,0.286,3.5,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.000013552931316160758
SRB,Europe,Serbia,2020-03-28,659,202,69.714,10,9,1.286,96.846,29.686,10.245,1.47,1.323,0.189,2.14,,,,,,,,,371.0,2086.0,0.307,0.055,202.0,0.03,0.345,2.9,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.000013471287151605572
SRB,Europe,Serbia,2020-03-29,741,82,74.143,13,3,1.571,108.897,12.051,10.896,1.91,0.441,0.231,2.04,,,,,,,,,376.0,2462.0,0.362,0.055,243.0,0.036,0.305,3.3,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.00014565318956645055
SRB,Europe,Serbia,2020-03-30,785,44,76.571,16,3,1.857,115.363,6.466,11.253,2.351,0.441,0.273,1.98,,,,,,,,,622.0,3084.0,0.453,0.091,323.0,0.047,0.237,4.2,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.00018892459678069873
SRB,Europe,Serbia,2020-03-31,900,115,85.286,16,0,1.857,132.264,16.9,12.534,2.351,0.0,0.273,1.97,,,,,,,,,477.0,3561.0,0.523,0.07,378.0,0.056,0.226,4.4,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,-520.1,-1.81,-1.02,-76.4336339732734,0.0002319510715012814
SRB,Europe,Serbia,2020-04-01,1060,160,96.571,28,12,3.429,155.777,23.514,14.192,4.115,1.764,0.504,1.97,,,,,,,,,810.0,4371.0,0.642,0.119,459.0,0.067,0.21,4.8,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0002306447648683984
SRB,Europe,Serbia,2020-04-02,1171,111,112.429,31,3,4.286,172.09,16.313,16.522,4.556,0.441,0.63,1.97,,,,,,,,,637.0,5008.0,0.736,0.094,507.0,0.075,0.222,4.5,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.00040568985367471565
SRB,Europe,Serbia,2020-04-03,1476,305,145.571,39,8,5.429,216.912,44.823,21.393,5.731,1.176,0.798,1.95,,,,,,,,,748.0,5756.0,0.846,0.11,577.0,0.085,0.252,4.0,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.00044749166592697047
SRB,Europe,Serbia,2020-04-04,1624,148,137.857,44,5,4.857,238.662,21.75,20.259,6.466,0.735,0.714,1.86,,,,,,,,,645.0,6401.0,0.941,0.095,616.0,0.091,0.224,4.5,people tested,,,,,,,,,,,,100.0,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,,,,,0.0005625282937852267
