iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
UGA,Africa,Uganda,2020-03-21,1,1,,,,,0.021,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,0
UGA,Africa,Uganda,2020-03-22,1,0,,,,,0.021,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,0.0
UGA,Africa,Uganda,2020-03-23,9,8,,,,,0.191,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,0.0
UGA,Africa,Uganda,2020-03-24,9,0,,,,,0.191,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,0.0
UGA,Africa,Uganda,2020-03-25,14,5,,,,,0.297,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,0.0
UGA,Africa,Uganda,2020-03-26,14,0,2.0,,,,0.297,0.0,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,0.0
UGA,Africa,Uganda,2020-03-27,23,9,3.286,,,,0.488,0.191,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,0.0
UGA,Africa,Uganda,2020-03-28,30,7,4.143,,,,0.637,0.149,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,0.0
UGA,Africa,Uganda,2020-03-29,33,3,4.571,,,,0.7,0.064,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,0.0
UGA,Africa,Uganda,2020-03-30,33,0,3.429,,,,0.7,0.0,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,0.0
