iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
ZWE,Africa,Zimbabwe,2020-03-20,1,1,,,,,0.066,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0
ZWE,Africa,Zimbabwe,2020-03-21,3,2,,,,,0.199,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-22,3,0,,,,,0.199,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-23,3,0,,1,1,,0.199,0.0,,0.066,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-24,3,0,,1,0,,0.199,0.0,,0.066,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-25,3,0,0.429,1,0,0.143,0.199,0.0,0.028,0.066,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-26,3,0,0.429,1,0,0.143,0.199,0.0,0.028,0.066,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-27,5,2,0.571,1,0,0.143,0.331,0.133,0.038,0.066,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-28,7,2,0.571,1,0,0.143,0.464,0.133,0.038,0.066,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-29,7,0,0.571,1,0,0.143,0.464,0.0,0.038,0.066,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-30,7,0,0.571,1,0,0.0,0.464,0.0,0.038,0.066,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-31,8,1,0.714,1,0,0.0,0.53,0.066,0.047,0.066,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-01,8,0,0.714,1,0,0.0,0.53,0.0,0.047,0.066,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-02,9,1,0.857,1,0,0.0,0.596,0.066,0.057,0.066,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-03,9,0,0.571,1,0,0.0,0.596,0.0,0.038,0.066,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-04,9,0,0.286,1,0,0.0,0.596,0.0,0.019,0.066,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-05,9,0,0.286,1,0,0.0,0.596,0.0,0.019,0.066,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-06,10,1,0.429,1,0,0.0,0.663,0.066,0.028,0.066,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-07,11,1,0.429,2,1,0.143,0.729,0.066,0.028,0.133,0.066,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-08,11,0,0.429,3,1,0.286,0.729,0.0,0.028,0.199,0.066,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-09,11,0,0.286,3,0,0.286,0.729,0.0,0.019,0.199,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-10,13,2,0.571,3,0,0.286,0.861,0.133,0.038,0.199,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-11,14,1,0.714,3,0,0.286,0.928,0.066,0.047,0.199,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-12,14,0,0.714,3,0,0.286,0.928,0.0,0.047,0.199,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-13,17,3,1.0,3,0,0.286,1.126,0.199,0.066,0.199,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-14,17,0,0.857,3,0,0.143,1.126,0.0,0.057,0.199,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-15,23,6,1.714,3,0,0.0,1.524,0.398,0.114,0.199,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-16,23,0,1.714,3,0,0.0,1.524,0.0,0.114,0.199,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-17,24,1,1.571,3,0,0.0,1.59,0.066,0.104,0.199,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-18,25,1,1.571,3,0,0.0,1.656,0.066,0.104,0.199,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-19,25,0,1.571,3,0,0.0,1.656,0.0,0.104,0.199,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-20,25,0,1.143,3,0,0.0,1.656,0.0,0.076,0.199,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-21,28,3,1.571,3,0,0.0,1.855,0.199,0.104,0.199,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-22,28,0,0.714,4,1,0.143,1.855,0.0,0.047,0.265,0.066,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-23,28,0,0.714,4,0,0.143,1.855,0.0,0.047,0.265,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-24,29,1,0.714,4,0,0.143,1.922,0.066,0.047,0.265,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-25,31,2,0.857,4,0,0.143,2.054,0.133,0.057,0.265,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-26,31,0,0.857,4,0,0.143,2.054,0.0,0.057,0.265,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-27,32,1,1.0,4,0,0.143,2.12,0.066,0.066,0.265,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-28,32,0,0.571,4,0,0.143,2.12,0.0,0.038,0.265,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-29,32,0,0.571,4,0,0.0,2.12,0.0,0.038,0.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-04-30,40,8,1.714,4,0,0.0,2.65,0.53,0.114,0.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-05-01,40,0,1.571,4,0,0.0,2.65,0.0,0.104,0.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-05-02,34,-6,0.429,4,0,0.0,2.253,-0.398,0.028,0.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
ZWE,Africa,Zimbabwe,2020-05-03,34,0,0.429,4,0,0.0,2.253,0.0,0.028,0.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,0.0
